2022-01-04,United Center,Chicago Bulls,Orlando Magic,01:00:00
2022-01-08,United Center,Chicago Bulls,Washington Wizards,01:00:00
2022-01-12,United Center,Chicago Bulls,Detroit Pistons,01:00:00
2022-01-13,United Center,Chicago Bulls,Brooklyn Nets,03:00:00
2022-01-15,United Center,Chicago Bulls,Golden State Warriors,00:30:00
2022-01-20,United Center,Chicago Bulls,Cleveland Cavaliers,01:00:00
2022-01-27,United Center,Chicago Bulls,Toronto Raptors,01:00:00
2022-01-30,United Center,Chicago Bulls,Portland Trail Blazers,20:30:00
2022-02-02,United Center,Chicago Bulls,Orlando Magic,01:00:00
2022-02-06,United Center,Chicago Bulls,Philadelphia 76ers,20:30:00
2022-02-08,United Center,Chicago Bulls,Phoenix Suns,01:00:00
2022-02-12,United Center,Chicago Bulls,Minnesota Timberwolves,01:00:00
2022-02-13,United Center,Chicago Bulls,Oklahoma City Thunder,01:00:00
2022-02-15,United Center,Chicago Bulls,San Antonio Spurs,01:00:00
2022-02-17,United Center,Chicago Bulls,Sacramento Kings,01:00:00
2022-02-25,United Center,Chicago Bulls,Atlanta Hawks,01:00:00
2022-02-27,United Center,Chicago Bulls,Memphis Grizzlies,01:00:00
2022-03-05,United Center,Chicago Bulls,Milwaukee Bucks,00:30:00
2022-03-13,United Center,Chicago Bulls,Cleveland Cavaliers,01:00:00
2022-03-22,United Center,Chicago Bulls,Toronto Raptors,00:00:00
2022-04-01,United Center,Chicago Bulls,LA Clippers,00:00:00
2022-04-03,United Center,Chicago Bulls,Miami Heat,00:00:00
2022-04-06,United Center,Chicago Bulls,Milwaukee Bucks,00:00:00
2022-04-07,United Center,Chicago Bulls,Boston Celtics,00:00:00
2022-04-09,United Center,Chicago Bulls,Charlotte Hornets,00:00:00
2022-10-23,United Center,Chicago Bulls,Cleveland Cavaliers,00:00:00
2022-10-25,United Center,Chicago Bulls,Boston Celtics,00:00:00
2022-10-27,United Center,Chicago Bulls,Indiana Pacers,00:00:00
2022-10-30,United Center,Chicago Bulls,Philadelphia 76ers,00:00:00
2022-11-03,United Center,Chicago Bulls,Charlotte Hornets,00:00:00
2022-11-08,United Center,Chicago Bulls,Toronto Raptors,01:45:00
2022-11-10,United Center,Chicago Bulls,New Orleans Pelicans,01:00:00
2022-11-14,United Center,Chicago Bulls,Denver Nuggets,01:00:00
2022-11-19,United Center,Chicago Bulls,Orlando Magic,01:00:00
2022-11-22,United Center,Chicago Bulls,Boston Celtics,01:00:00
2022-12-08,United Center,Chicago Bulls,Washington Wizards,01:00:00
2022-12-11,United Center,Chicago Bulls,Dallas Mavericks,01:00:00
2022-12-15,United Center,Chicago Bulls,New York Knicks,00:30:00
2022-12-17,United Center,Chicago Bulls,New York Knicks,01:00:00
2022-12-27,United Center,Chicago Bulls,Houston Rockets,01:00:00
2022-12-29,United Center,Chicago Bulls,Milwaukee Bucks,01:00:00
2022-12-31,United Center,Chicago Bulls,Detroit Pistons,01:00:00
